R,G,B,red,pink,blue,white,light green,green,yellow,orange,light red
254,57,49,1,0,0,0,0,0,0,0,0
63,221,206,0,0,0,0,1,0,0,0,0
208,193,64,0,0,0,0,0,0,1,0,0
239,189,64,0,0,0,0,0,0,1,0,0
36,167,255,0,0,0,1,0,0,0,0,0
32,178,255,0,0,0,1,0,0,0,0,0
255,78,156,0,1,0,0,0,0,0,0,0
255,174,64,0,0,0,0,0,0,1,0,0
202,195,63,0,0,0,0,0,0,1,0,0
255,82,174,0,1,0,0,0,0,0,0,0
38,158,255,0,0,0,1,0,0,0,0,0
31,182,255,0,0,0,1,0,0,0,0,0
252,89,208,0,0,1,0,0,0,0,0,0
49,123,254,0,0,1,0,0,0,0,0,0
34,173,254,0,0,0,1,0,0,0,0,0
88,216,168,0,0,0,0,0,1,0,0,0
222,192,62,0,0,0,0,0,0,1,0,0
252,93,222,0,0,1,0,0,0,0,0,0
48,130,255,0,0,0,1,0,0,0,0,0
255,77,155,0,1,0,0,0,0,0,0,0
255,78,156,0,1,0,0,0,0,0,0,0
131,206,88,0,0,0,0,0,0,1,0,0
255,147,60,0,0,0,0,0,0,0,1,0
108,212,137,0,0,0,0,0,1,0,0,0
204,195,64,0,0,0,0,0,0,1,0,0
254,85,184,0,1,0,0,0,0,0,0,0
38,166,255,0,0,0,1,0,0,0,0,0
247,189,64,0,0,0,0,0,0,1,0,0
67,220,199,0,0,0,0,1,0,0,0,0
180,198,64,0,0,0,0,0,0,1,0,0
255,138,58,0,0,0,0,0,0,0,1,0
211,193,65,0,0,0,0,0,0,1,0,0
253,129,57,0,0,0,0,0,0,0,1,0
157,109,255,0,0,1,0,0,0,0,0,0
37,167,255,0,0,0,1,0,0,0,0,0
35,176,255,0,0,0,1,0,0,0,0,0
42,149,255,0,0,0,1,0,0,0,0,0
251,100,253,0,0,1,0,0,0,0,0,0
241,190,65,0,0,0,0,0,0,1,0,0
149,111,255,0,0,1,0,0,0,0,0,0
252,89,208,0,0,1,0,0,0,0,0,0
253,59,49,0,0,0,0,0,0,0,0,1
49,123,255,0,0,1,0,0,0,0,0,0
187,197,62,0,0,0,0,0,0,1,0,0
55,119,255,0,0,1,0,0,0,0,0,0
31,184,254,0,0,0,1,0,0,0,0,0
5,219,253,0,0,0,1,0,0,0,0,0
89,215,168,0,0,0,0,0,1,0,0,0
255,58,55,1,0,0,0,0,0,0,0,0
51,224,222,0,0,0,0,1,0,0,0,0
129,206,90,0,0,0,0,0,0,1,0,0
75,219,186,0,0,0,0,0,1,0,0,0
177,198,67,0,0,0,0,0,0,1,0,0
254,88,196,0,0,1,0,0,0,0,0,0
239,189,64,0,0,0,0,0,0,1,0,0
41,153,255,0,0,0,1,0,0,0,0,0
33,181,253,0,0,0,1,0,0,0,0,0
99,114,255,0,0,1,0,0,0,0,0,0
214,104,253,0,0,1,0,0,0,0,0,0
55,119,255,0,0,1,0,0,0,0,0,0
253,84,183,0,1,0,0,0,0,0,0,0
116,208,121,0,0,0,0,0,1,0,0,0
226,193,64,0,0,0,0,0,0,1,0,0
240,192,66,0,0,0,0,0,0,1,0,0
255,123,58,0,0,0,0,0,0,0,1,0
232,105,255,0,0,1,0,0,0,0,0,0
35,176,255,0,0,0,1,0,0,0,0,0
255,119,59,0,0,0,0,0,0,0,1,0
255,72,128,0,1,0,0,0,0,0,0,0
47,145,255,0,0,0,1,0,0,0,0,0
43,150,254,0,0,0,1,0,0,0,0,0
106,212,140,0,0,0,0,0,1,0,0,0
253,59,49,0,0,0,0,0,0,0,0,1
69,221,198,0,0,0,0,1,0,0,0,0
46,144,255,0,0,0,1,0,0,0,0,0
255,168,65,0,0,0,0,0,0,1,0,0
142,203,63,0,0,0,0,0,0,1,0,0
250,189,64,0,0,0,0,0,0,1,0,0
123,114,255,0,0,1,0,0,0,0,0,0
255,123,58,0,0,0,0,0,0,0,1,0
164,200,64,0,0,0,0,0,0,1,0,0
0,225,255,0,0,0,1,0,0,0,0,0
255,56,51,0,0,0,0,0,0,0,0,1
107,114,255,0,0,1,0,0,0,0,0,0
89,215,167,0,0,0,0,0,1,0,0,0
203,193,62,0,0,0,0,0,0,1,0,0
255,127,59,0,0,0,0,0,0,0,1,0
138,111,254,0,0,1,0,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
108,211,140,0,0,0,0,0,1,0,0,0
184,197,65,0,0,0,0,0,0,1,0,0
154,201,63,0,0,0,0,0,0,1,0,0
199,196,65,0,0,0,0,0,0,1,0,0
71,218,192,0,0,0,0,0,1,0,0,0
255,110,53,0,0,0,0,0,0,0,1,0
210,106,255,0,0,1,0,0,0,0,0,0
249,189,67,0,0,0,0,0,0,1,0,0
255,62,70,1,0,0,0,0,0,0,0,0
255,168,65,0,0,0,0,0,0,1,0,0
28,191,255,0,0,0,1,0,0,0,0,0
252,101,254,0,0,1,0,0,0,0,0,0
255,98,53,0,0,0,0,0,0,0,0,1
222,192,62,0,0,0,0,0,0,1,0,0
119,206,109,0,0,0,0,0,1,0,0,0
159,200,62,0,0,0,0,0,0,1,0,0
255,158,61,0,0,0,0,0,0,0,1,0
158,109,253,0,0,1,0,0,0,0,0,0
176,108,255,0,0,1,0,0,0,0,0,0
0,227,255,0,0,0,1,0,0,0,0,0
38,225,234,0,0,0,0,1,0,0,0,0
31,183,255,0,0,0,1,0,0,0,0,0
251,102,254,0,0,1,0,0,0,0,0,0
143,202,62,0,0,0,0,0,0,1,0,0
89,215,167,0,0,0,0,0,1,0,0,0
13,217,254,0,0,0,1,0,0,0,0,0
34,173,254,0,0,0,1,0,0,0,0,0
112,209,132,0,0,0,0,0,1,0,0,0
254,56,53,0,0,0,0,0,0,0,0,1
255,70,50,0,0,0,0,0,0,0,0,1
33,179,254,0,0,0,1,0,0,0,0,0
49,119,253,0,0,1,0,0,0,0,0,0
38,225,234,0,0,0,0,1,0,0,0,0
81,217,179,0,0,0,0,0,1,0,0,0
255,63,88,1,0,0,0,0,0,0,0,0
251,99,244,0,0,1,0,0,0,0,0,0
198,195,64,0,0,0,0,0,0,1,0,0
232,105,255,0,0,1,0,0,0,0,0,0
112,209,132,0,0,0,0,0,1,0,0,0
201,194,64,0,0,0,0,0,0,1,0,0
251,97,231,0,0,1,0,0,0,0,0,0
162,200,63,0,0,0,0,0,0,1,0,0
0,231,254,0,0,0,0,1,0,0,0,0
1,224,255,0,0,0,1,0,0,0,0,0
75,118,255,0,0,1,0,0,0,0,0,0
255,58,55,1,0,0,0,0,0,0,0,0
67,116,255,0,0,1,0,0,0,0,0,0
255,58,50,1,0,0,0,0,0,0,0,0
176,198,63,0,0,0,0,0,0,1,0,0
255,122,57,0,0,0,0,0,0,0,1,0
82,216,179,0,0,0,0,0,1,0,0,0
75,219,186,0,0,0,0,0,1,0,0,0
164,109,254,0,0,1,0,0,0,0,0,0
83,215,175,0,0,0,0,0,1,0,0,0
138,204,72,0,0,0,0,0,0,1,0,0
24,197,253,0,0,0,1,0,0,0,0,0
125,112,254,0,0,1,0,0,0,0,0,0
187,109,255,0,0,1,0,0,0,0,0,0
254,188,65,0,0,0,0,0,0,1,0,0
114,112,255,0,0,1,0,0,0,0,0,0
1,229,254,0,0,0,0,1,0,0,0,0
255,78,159,0,1,0,0,0,0,0,0,0
255,73,130,0,1,0,0,0,0,0,0,0
255,161,63,0,0,0,0,0,0,0,1,0
186,196,63,0,0,0,0,0,0,1,0,0
255,178,62,0,0,0,0,0,0,1,0,0
118,206,119,0,0,0,0,0,1,0,0,0
255,57,46,1,0,0,0,0,0,0,0,0
26,189,254,0,0,0,1,0,0,0,0,0
161,109,254,0,0,1,0,0,0,0,0,0
184,197,65,0,0,0,0,0,0,1,0,0
20,227,245,0,0,0,0,1,0,0,0,0
255,128,57,0,0,0,0,0,0,0,1,0
217,104,254,0,0,1,0,0,0,0,0,0
252,85,191,0,1,0,0,0,0,0,0,0
254,182,62,0,0,0,0,0,0,1,0,0
255,78,52,0,0,0,0,0,0,0,0,1
51,224,222,0,0,0,0,1,0,0,0,0
253,141,59,0,0,0,0,0,0,0,1,0
128,205,99,0,0,0,0,0,0,1,0,0
185,107,255,0,0,1,0,0,0,0,0,0
255,124,59,0,0,0,0,0,0,0,1,0
106,211,144,0,0,0,0,0,1,0,0,0
254,119,55,0,0,0,0,0,0,0,1,0
163,199,63,0,0,0,0,0,0,1,0,0
241,102,253,0,0,1,0,0,0,0,0,0
48,127,254,0,0,0,1,0,0,0,0,0
209,194,65,0,0,0,0,0,0,1,0,0
11,228,247,0,0,0,0,1,0,0,0,0
103,114,255,0,0,1,0,0,0,0,0,0
41,153,255,0,0,0,1,0,0,0,0,0
254,102,53,0,0,0,0,0,0,0,0,1
49,121,255,0,0,1,0,0,0,0,0,0
251,101,252,0,0,1,0,0,0,0,0,0
52,125,254,0,0,1,0,0,0,0,0,0
255,112,56,0,0,0,0,0,0,0,1,0
44,141,254,0,0,0,1,0,0,0,0,0
164,198,62,0,0,0,0,0,0,1,0,0
43,150,254,0,0,0,1,0,0,0,0,0
59,118,255,0,0,1,0,0,0,0,0,0
178,199,62,0,0,0,0,0,0,1,0,0
254,81,173,0,1,0,0,0,0,0,0,0
95,212,157,0,0,0,0,0,1,0,0,0
3,223,255,0,0,0,1,0,0,0,0,0
213,194,65,0,0,0,0,0,0,1,0,0
255,69,50,0,0,0,0,0,0,0,0,1
42,224,225,0,0,0,0,1,0,0,0,0
100,214,154,0,0,0,0,0,1,0,0,0
36,167,255,0,0,0,1,0,0,0,0,0
11,228,247,0,0,0,0,1,0,0,0,0
114,208,124,0,0,0,0,0,1,0,0,0
253,84,183,0,1,0,0,0,0,0,0,0
255,58,50,0,0,0,0,0,0,0,0,1
249,102,255,0,0,1,0,0,0,0,0,0
133,204,84,0,0,0,0,0,0,1,0,0
112,209,132,0,0,0,0,0,1,0,0,0
255,78,159,0,1,0,0,0,0,0,0,0
42,224,225,0,0,0,0,1,0,0,0,0
204,194,63,0,0,0,0,0,0,1,0,0
255,144,62,0,0,0,0,0,0,0,1,0
149,110,255,0,0,1,0,0,0,0,0,0
255,78,159,0,1,0,0,0,0,0,0,0
255,126,58,0,0,0,0,0,0,0,1,0
103,114,255,0,0,1,0,0,0,0,0,0
95,212,157,0,0,0,0,0,1,0,0,0
255,81,168,0,1,0,0,0,0,0,0,0
255,98,53,0,0,0,0,0,0,0,0,1
255,96,56,0,0,0,0,0,0,0,0,1
103,114,255,0,0,1,0,0,0,0,0,0
108,212,135,0,0,0,0,0,1,0,0,0
251,99,244,0,0,1,0,0,0,0,0,0
255,71,133,0,1,0,0,0,0,0,0,0
37,169,254,0,0,0,1,0,0,0,0,0
93,115,253,0,0,1,0,0,0,0,0,0
23,196,255,0,0,0,1,0,0,0,0,0
214,193,65,0,0,0,0,0,0,1,0,0
196,196,64,0,0,0,0,0,0,1,0,0
124,207,103,0,0,0,0,0,0,1,0,0
37,167,255,0,0,0,1,0,0,0,0,0
45,222,228,0,0,0,0,1,0,0,0,0
159,200,62,0,0,0,0,0,0,1,0,0
41,153,255,0,0,0,1,0,0,0,0,0
175,110,254,0,0,1,0,0,0,0,0,0
153,202,61,0,0,0,0,0,0,1,0,0
26,226,241,0,0,0,0,1,0,0,0,0
38,166,255,0,0,0,1,0,0,0,0,0
255,98,53,0,0,0,0,0,0,0,0,1
226,191,63,0,0,0,0,0,0,1,0,0
253,76,146,0,1,0,0,0,0,0,0,0
255,103,54,0,0,0,0,0,0,0,0,1
255,133,58,0,0,0,0,0,0,0,1,0
179,110,255,0,0,1,0,0,0,0,0,0
99,114,255,0,0,1,0,0,0,0,0,0
1,229,254,0,0,0,0,1,0,0,0,0
157,201,62,0,0,0,0,0,0,1,0,0
35,176,255,0,0,0,1,0,0,0,0,0
45,145,255,0,0,0,1,0,0,0,0,0
128,205,99,0,0,0,0,0,0,1,0,0
255,69,112,1,0,0,0,0,0,0,0,0
121,207,108,0,0,0,0,0,1,0,0,0
77,218,184,0,0,0,0,0,1,0,0,0
255,110,57,0,0,0,0,0,0,0,1,0
48,120,254,0,0,1,0,0,0,0,0,0
252,92,218,0,0,1,0,0,0,0,0,0
254,85,54,0,0,0,0,0,0,0,0,1
255,69,118,0,1,0,0,0,0,0,0,0
37,167,255,0,0,0,1,0,0,0,0,0
59,118,254,0,0,1,0,0,0,0,0,0
106,212,140,0,0,0,0,0,1,0,0,0
171,199,62,0,0,0,0,0,0,1,0,0
255,58,50,0,0,0,0,0,0,0,0,1
255,82,174,0,1,0,0,0,0,0,0,0
202,195,63,0,0,0,0,0,0,1,0,0
171,199,62,0,0,0,0,0,0,1,0,0
163,110,254,0,0,1,0,0,0,0,0,0
83,215,175,0,0,0,0,0,1,0,0,0
255,65,49,0,0,0,0,0,0,0,0,1
48,132,255,0,0,0,1,0,0,0,0,0
8,228,252,0,0,0,0,1,0,0,0,0
98,115,255,0,0,1,0,0,0,0,0,0
50,124,255,0,0,1,0,0,0,0,0,0
252,89,204,0,0,1,0,0,0,0,0,0
141,202,65,0,0,0,0,0,0,1,0,0
12,229,248,0,0,0,0,1,0,0,0,0
203,194,63,0,0,0,0,0,0,1,0,0
26,189,254,0,0,0,1,0,0,0,0,0
129,206,92,0,0,0,0,0,0,1,0,0
1,226,255,0,0,0,1,0,0,0,0,0
45,139,253,0,0,0,1,0,0,0,0,0
255,181,64,0,0,0,0,0,0,1,0,0
33,179,254,0,0,0,1,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
48,127,254,0,0,0,1,0,0,0,0,0
255,136,58,0,0,0,0,0,0,0,1,0
83,218,178,0,0,0,0,0,1,0,0,0
254,78,159,0,1,0,0,0,0,0,0,0
254,130,58,0,0,0,0,0,0,0,1,0
250,189,64,0,0,0,0,0,0,1,0,0
255,110,57,0,0,0,0,0,0,0,1,0
150,201,62,0,0,0,0,0,0,1,0,0
1,226,254,0,0,0,0,1,0,0,0,0
3,223,255,0,0,0,1,0,0,0,0,0
43,225,228,0,0,0,0,1,0,0,0,0
20,206,255,0,0,0,1,0,0,0,0,0
250,100,251,0,0,1,0,0,0,0,0,0
40,156,255,0,0,0,1,0,0,0,0,0
176,108,255,0,0,1,0,0,0,0,0,0
39,167,255,0,0,0,1,0,0,0,0,0
221,192,64,0,0,0,0,0,0,1,0,0
128,206,96,0,0,0,0,0,0,1,0,0
222,191,64,0,0,0,0,0,0,1,0,0
42,154,255,0,0,0,1,0,0,0,0,0
26,199,255,0,0,0,1,0,0,0,0,0
255,178,62,0,0,0,0,0,0,1,0,0
47,145,255,0,0,0,1,0,0,0,0,0
208,105,255,0,0,1,0,0,0,0,0,0
42,224,225,0,0,0,0,1,0,0,0,0
139,203,67,0,0,0,0,0,0,1,0,0
123,208,105,0,0,0,0,0,1,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
99,213,153,0,0,0,0,0,1,0,0,0
212,193,64,0,0,0,0,0,0,1,0,0
233,192,66,0,0,0,0,0,0,1,0,0
36,167,255,0,0,0,1,0,0,0,0,0
36,164,255,0,0,0,1,0,0,0,0,0
69,221,198,0,0,0,0,1,0,0,0,0
33,179,254,0,0,0,1,0,0,0,0,0
107,114,255,0,0,1,0,0,0,0,0,0
255,144,62,0,0,0,0,0,0,0,1,0
89,215,167,0,0,0,0,0,1,0,0,0
62,118,255,0,0,1,0,0,0,0,0,0
49,123,254,0,0,1,0,0,0,0,0,0
49,123,254,0,0,1,0,0,0,0,0,0
50,120,254,0,0,1,0,0,0,0,0,0
39,155,254,0,0,0,1,0,0,0,0,0
255,79,164,0,1,0,0,0,0,0,0,0
16,227,246,0,0,0,0,1,0,0,0,0
161,109,254,0,0,1,0,0,0,0,0,0
39,155,254,0,0,0,1,0,0,0,0,0
198,105,255,0,0,1,0,0,0,0,0,0
244,104,255,0,0,1,0,0,0,0,0,0
48,120,254,0,0,1,0,0,0,0,0,0
129,206,92,0,0,0,0,0,0,1,0,0
33,181,253,0,0,0,1,0,0,0,0,0
171,199,63,0,0,0,0,0,0,1,0,0
214,193,65,0,0,0,0,0,0,1,0,0
236,103,254,0,0,1,0,0,0,0,0,0
251,101,252,0,0,1,0,0,0,0,0,0
255,70,49,0,0,0,0,0,0,0,0,1
253,93,225,0,0,1,0,0,0,0,0,0
112,209,132,0,0,0,0,0,1,0,0,0
153,202,61,0,0,0,0,0,0,1,0,0
213,104,255,0,0,1,0,0,0,0,0,0
187,108,253,0,0,1,0,0,0,0,0,0
252,93,222,0,0,1,0,0,0,0,0,0
237,192,65,0,0,0,0,0,0,1,0,0
149,202,62,0,0,0,0,0,0,1,0,0
141,203,68,0,0,0,0,0,0,1,0,0
57,223,213,0,0,0,0,1,0,0,0,0
236,192,67,0,0,0,0,0,0,1,0,0
37,167,255,0,0,0,1,0,0,0,0,0
255,79,164,0,1,0,0,0,0,0,0,0
144,203,63,0,0,0,0,0,0,1,0,0
255,100,54,0,0,0,0,0,0,0,0,1
25,195,254,0,0,0,1,0,0,0,0,0
80,218,182,0,0,0,0,0,1,0,0,0
255,82,174,0,1,0,0,0,0,0,0,0
255,58,50,1,0,0,0,0,0,0,0,0
33,181,255,0,0,0,1,0,0,0,0,0
140,202,65,0,0,0,0,0,0,1,0,0
254,84,181,0,1,0,0,0,0,0,0,0
67,220,202,0,0,0,0,1,0,0,0,0
250,101,245,0,0,1,0,0,0,0,0,0
33,226,233,0,0,0,0,1,0,0,0,0
25,202,254,0,0,0,1,0,0,0,0,0
78,116,253,0,0,1,0,0,0,0,0,0
48,134,255,0,0,0,1,0,0,0,0,0
138,203,77,0,0,0,0,0,0,1,0,0
255,70,49,0,0,0,0,0,0,0,0,1
50,120,254,0,0,1,0,0,0,0,0,0
255,71,133,0,1,0,0,0,0,0,0,0
226,191,65,0,0,0,0,0,0,1,0,0
121,207,108,0,0,0,0,0,1,0,0,0
255,133,58,0,0,0,0,0,0,0,1,0
34,177,255,0,0,0,1,0,0,0,0,0
186,108,254,0,0,1,0,0,0,0,0,0
255,181,64,0,0,0,0,0,0,1,0,0
254,79,172,0,1,0,0,0,0,0,0,0
255,63,84,1,0,0,0,0,0,0,0,0
8,216,254,0,0,0,1,0,0,0,0,0
255,75,52,0,0,0,0,0,0,0,0,1
255,59,61,1,0,0,0,0,0,0,0,0
141,203,68,0,0,0,0,0,0,1,0,0
247,189,66,0,0,0,0,0,0,1,0,0
29,227,240,0,0,0,0,1,0,0,0,0
165,110,255,0,0,1,0,0,0,0,0,0
189,196,64,0,0,0,0,0,0,1,0,0
35,176,255,0,0,0,1,0,0,0,0,0
201,194,64,0,0,0,0,0,0,1,0,0
78,116,253,0,0,1,0,0,0,0,0,0
254,59,65,1,0,0,0,0,0,0,0,0
252,78,163,0,1,0,0,0,0,0,0,0
255,75,146,0,1,0,0,0,0,0,0,0
241,104,255,0,0,1,0,0,0,0,0,0
255,65,99,1,0,0,0,0,0,0,0,0
175,198,64,0,0,0,0,0,0,1,0,0
13,210,255,0,0,0,1,0,0,0,0,0
255,103,54,0,0,0,0,0,0,0,0,1
255,183,65,0,0,0,0,0,0,1,0,0
95,212,157,0,0,0,0,0,1,0,0,0
244,104,255,0,0,1,0,0,0,0,0,0
195,197,64,0,0,0,0,0,0,1,0,0
198,195,64,0,0,0,0,0,0,1,0,0
254,109,54,0,0,0,0,0,0,0,1,0
247,189,64,0,0,0,0,0,0,1,0,0
250,98,233,0,0,1,0,0,0,0,0,0
115,208,119,0,0,0,0,0,1,0,0,0
255,186,65,0,0,0,0,0,0,1,0,0
159,200,62,0,0,0,0,0,0,1,0,0
252,97,235,0,0,1,0,0,0,0,0,0
36,167,255,0,0,0,1,0,0,0,0,0
255,89,201,0,0,1,0,0,0,0,0,0
205,195,64,0,0,0,0,0,0,1,0,0
34,177,255,0,0,0,1,0,0,0,0,0
21,201,254,0,0,0,1,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
255,124,59,0,0,0,0,0,0,0,1,0
255,150,59,0,0,0,0,0,0,0,1,0
154,201,63,0,0,0,0,0,0,1,0,0
255,52,48,0,0,0,0,0,0,0,0,1
93,115,253,0,0,1,0,0,0,0,0,0
40,158,255,0,0,0,1,0,0,0,0,0
5,219,253,0,0,0,1,0,0,0,0,0
185,107,255,0,0,1,0,0,0,0,0,0
215,192,64,0,0,0,0,0,0,1,0,0
254,78,159,0,1,0,0,0,0,0,0,0
249,102,255,0,0,1,0,0,0,0,0,0
176,108,255,0,0,1,0,0,0,0,0,0
92,214,163,0,0,0,0,0,1,0,0,0
253,148,56,0,0,0,0,0,0,0,1,0
164,109,255,0,0,1,0,0,0,0,0,0
227,192,64,0,0,0,0,0,0,1,0,0
88,216,168,0,0,0,0,0,1,0,0,0
45,142,255,0,0,0,1,0,0,0,0,0
95,214,160,0,0,0,0,0,1,0,0,0
173,109,255,0,0,1,0,0,0,0,0,0
254,67,112,1,0,0,0,0,0,0,0,0
201,194,64,0,0,0,0,0,0,1,0,0
253,189,65,0,0,0,0,0,0,1,0,0
205,195,64,0,0,0,0,0,0,1,0,0
255,56,51,0,0,0,0,0,0,0,0,1
251,100,253,0,0,1,0,0,0,0,0,0
244,190,68,0,0,0,0,0,0,1,0,0
158,109,253,0,0,1,0,0,0,0,0,0
255,66,50,0,0,0,0,0,0,0,0,1
252,97,237,0,0,1,0,0,0,0,0,0
255,98,53,0,0,0,0,0,0,0,0,1
32,226,238,0,0,0,0,1,0,0,0,0
255,82,50,0,0,0,0,0,0,0,0,1
239,191,65,0,0,0,0,0,0,1,0,0
255,161,63,0,0,0,0,0,0,0,1,0
118,113,255,0,0,1,0,0,0,0,0,0
